MaxCoursesFromThisClass,Courses
2,h821,h315,h1120,h702,h995,h157,h1187,h673,h1091,h771,h818,h1038,h1143,h592,h700,h451,h1065,h484,h805,h1465,h1430,h1343,h1324,h1239,h1160,h489,h1190,h1132,h61,h549,h479,h1204,h749,h620,h748,h1224,h335,h1283,h1334,h433,h1108,h1052,h118,h927,h890,h743,h127,h294,h398,h380,h244,h1409,h481,h608,h35,h421,h814,h298,h478,h820,h166,h43,h496,h1433,h95,h604,h269,h831,h374,h1410,h758,h255,h1005,h1497,h49
3,h660,h1222,h220,h654,h417,h1268,h526,h1375,h340,h394,h1101,h1425,h689,h514,h688,h833,h320,h718,h985,h429,h932,h439,h151,h1203,h542,h120,h424,h488,h647,h569,h536,h330,h584,h117,h1468,h476,h782,h737,h597,h872,h1276,h1473,h725,h898,h348,h1033,h851,h572,h706,h91,h21,h682,h897,h1355,h110,h74,h525,h562,h160,h1444,h98,h796,h47,h218,h362,h1054,h1460,h48,h141,h1183,h512,h1212,h1075,h905,h1106
1,h1117,h1189,h662,h463,h665,h249,h408,h119,h1098,h169,h794,h352,h1049,h930,h2,h453,h1386,h319,h1376,h497,h1494,h754,h238,h500,h1185,h1231,h865,h950,h1315,h437,h874,h1196,h1486,h1184,h567,h1018,h559,h18,h301,h1154,h832,h1255,h313,h34,h1314,h1352,h75,h36,h444,h426,h1089,h1411,h1475,h952,h909,h1036,h1280,h1228,h721,h1328,h1126,h1394,h1318,h368,h634,h239,h97,h639,h1046,h243,h1484,h1041,h56,h684,h1073
1,h248,h280,h1403,h228,h83,h1086,h410,h1491,h968,h1022,h1391,h333,h583,h806,h1496,h69,h364,h1312,h775,h219,h406,h841,h1368,h390,h565,h843,h1329,h581,h1469,h824,h392,h1437,h359,h38,h1200,h1003,h1451,h723,h1369,h1077,h1059,h214,h350,h516,h598,h925,h1153,h115,h33,h1420,h1262,h124,h271,h982,h52,h1356,h450,h738,h284,h920,h64,h491,h958,h1031,h153,h860,h351,h26,h1130,h752,h978,h79,h1281,h1237,h591
3,h1096,h1284,h1067,h58,h322,h1199,h610,h407,h1042,h891,h70,h12,h991,h452,h808,h1097,h185,h1401,h871,h1358,h1083,h78,h1292,h1323,h189,h192,h1455,h1293,h311,h217,h530,h747,h252,h1447,h726,h356,h474,h1483,h1232,h1297,h1296,h825,h420,h246,h593,h210,h1416,h1055,h515,h262,h573,h355,h1275,h1266,h1206,h1166,h1313,h556,h935,h1373,h1127,h1170,h1254,h944,h504,h575,h1176,h792,h848,h715,h1432,h1333,h427,h1385,h436
2,h517,h131,h1240,h769,h616,h1061,h997,h845,h1364,h1064,h613,h1223,h829,h917,h300,h651,h1277,h640,h1092,h345,h1248,h1138,h1481,h388,h1151,h51,h1456,h797,h353,h1181,h646,h41,h508,h1405,h1448,h1457,h612,h999,h470,h211,h1109,h1137,h840,h1014,h844,h314,h933,h942,h326,h1406,h1408,h904,h1225,h913,h1398,h663,h576,h206,h1488,h188,h174,h686,h746,h972,h1474,h1028,h1374,h30,h681,h698,h107,h281,h876,h357,h709
2,h184,h148,h1159,h253,h1093,h371,h385,h1326,h1186,h834,h405,h924,h1443,h279,h1371,h1238,h93,h1463,h900,h274,h936,h1078,h486,h179,h1171,h272,h802,h868,h1258,h128,h365,h260,h903,h1349,h1158,h225,h1235,h533,h483,h199,h970,h37,h375,h499,h714,h911,h578,h215,h866,h810,h506,h1462,h423,h1350,h666,h1438,h393,h701,h881,h216,h722,h205,h951,h1030,h1068,h139,h879,h1131,h163,h907,h212,h836,h885,h1431,h830
2,h409,h1011,h15,h566,h1182,h783,h10,h1198,h1246,h197,h57,h561,h519,h1066,h1103,h1347,h1476,h676,h817,h1421,h1477,h708,h1072,h967,h324,h929,h318,h1309,h813,h1331,h372,h354,h1180,h1265,h1340,h209,h361,h742,h1094,h308,h113,h630,h615,h180,h402,h1372,h469,h232,h764,h600,h910,h1082,h250,h1050,h1264,h804,h383,h1440,h1145,h1216,h259,h377,h257,h1121,h964,h786,h55,h1241,h987,h966,h990,h108,h224,h1287,h102
3,h981,h1147,h1336,h155,h241,h275,h1119,h425,h1471,h729,h577,h547,h588,h974,h1134,h695,h331,h939,h200,h428,h827,h934,h1152,h1070,h789,h1317,h367,h704,h1047,h104,h589,h1257,h799,h103,h637,h411,h482,h1207,h1286,h1363,h861,h1124,h1211,h1311,h521,h1148,h99,h76,h518,h811,h434,h1118,h1379,h144,h880,h1218,h755,h1423,h770,h624,h854,h1227,h1325,h1253,h776,h25,h283,h809,h1242,h1316,h996,h1441,h1188,h532,h1213
1,h458,h1221,h231,h914,h312,h309,h338,h302,h307,h619,h826,h1354,h68,h94,h106,h132,h87,h623,h1195,h109,h953,h468,h943,h823,h846,h1395,h1464,h1339,h847,h1307,h534,h1233,h693,h819,h282,h1335,h912,h1498,h237,h989,h1396,h418,h1345,h807,h507,h1079,h887,h670,h7,h739,h1026,h337,h1381,h1367,h112,h601,h114,h1360,h1330,h859,h154,h1272,h642,h1321,h54,h659,h1400,h152,h705,h1278,h960,h947,h202,h674,h213
3,h327,h1261,h986,h40,h564,h877,h1071,h1178,h285,h937,h628,h134,h89,h63,h487,h460,h1353,h1299,h759,h268,h236,h1243,h1013,h1282,h1057,h1084,h1344,h140,h72,h652,h882,h522,h332,h523,h790,h1062,h414,h1389,h901,h156,h8,h554,h4,h1302,h908,h849,h130,h971,h648,h1466,h23,h1399,h787,h1034,h465,h399,h915,h1472,h875,h1319,h73,h20,h27,h386,h1467,h963,h304,h1310,h168,h557,h945,h535,h603,h1116,h727
3,h858,h1470,h1039,h316,h480,h137,h1489,h9,h1095,h728,h42,h916,h419,h1377,h778,h1322,h793,h694,h1424,h1023,h1129,h339,h459,h1164,h299,h466,h1390,h1020,h1230,h222,h675,h1069,h443,h732,h672,h230,h1107,h837,h869,h1133,h1274,h138,h669,h509,h1088,h599,h699,h740,h568,h226,h1370,h170,h1492,h65,h1220,h671,h121,h366,h176,h66,h204,h918,h531,h1208,h703,h297,h609,h1060,h329,h1100,h800,h1229,h447,h984,h208
3,h133,h687,h412,h198,h1012,h1303,h919,h290,h32,h1024,h899,h1434,h181,h803,h529,h585,h1140,h1135,h1016,h1259,h1419,h690,h126,h146,h503,h381,h344,h1056,h187,h1495,h86,h1308,h1156,h1273,h438,h957,h1338,h1214,h229,h182,h53,h71,h178,h867,h92,h165,h81,h116,h291,h1048,h325,h467,h643,h680,h883,h551,h328,h1167,h149,h303,h1085,h1149,h1172,h975,h1435,h923,h431,h902,h1177,h541,h1063,h1341,h762,h84,h661
1,h795,h632,h1414,h1209,h477,h602,h376,h1429,h1487,h266,h772,h203,h1442,h965,h863,h1234,h685,h159,h111,h1485,h870,h1279,h1387,h760,h815,h712,h993,h261,h528,h977,h544,h1001,h44,h959,h657,h310,h1193,h1128,h1393,h147,h878,h1074,h655,h472,h125,h384,h16,h82,h59,h645,h767,h1087,h190,h949,h195,h852,h485,h1458,h850,h471,h28,h1479,h1251,h13,h265,h1029,h387,h838,h607,h251,h1099,h378,h540,h142,h346
2,h492,h22,h1250,h954,h85,h574,h1139,h306,h756,h510,h719,h1123,h432,h50,h162,h938,h288,h558,h1342,h164,h101,h19,h553,h454,h886,h653,h736,h1217,h1150,h548,h1412,h45,h638,h667,h716,h1428,h24,h550,h1301,h1269,h545,h992,h442,h1500,h1454,h369,h1205,h440,h631,h707,h1383,h490,h773,h622,h1006,h29,h1332,h625,h668,h713,h563,h1142,h605,h1037,h494,h641,h777,h80,h798,h888,h150,h1337,h801,h277,h1480
1,h17,h1044,h1090,h1146,h621,h1010,h342,h196,h46,h11,h691,h1453,h1402,h14,h396,h1270,h1445,h873,h296,h587,h1439,h969,h586,h895,h1300,h717,h948,h678,h1404,h677,h370,h1450,h5,h1244,h1202,h697,h1366,h513,h979,h186,h323,h1482,h779,h1002,h287,h90,h644,h744,h295,h278,h88,h235,h735,h956,h435,h611,h62,h293,h270,h1397,h1051,h1210,h96,h3,h635,h1226,h77,h1045,h994,h416,h1112,h922,h1007,h656,h552
3,h505,h555,h1111,h143,h1125,h1174,h1053,h1102,h456,h1245,h240,h1267,h1289,h145,h906,h751,h926,h766,h1017,h650,h276,h590,h1417,h105,h1155,h501,h321,h720,h946,h1141,h1035,h1219,h122,h389,h520,h397,h988,h207,h1201,h404,h1236,h461,h1378,h223,h493,h812,h527,h1295,h242,h780,h358,h785,h889,h765,h649,h1285,h233,h445,h896,h1446,h379,h839,h373,h733,h256,h983,h136,h1298,h31,h183,h171,h788,h1320,h1499,h289
2,h546,h595,h853,h538,h626,h1104,h594,h446,h961,h247,h441,h1015,h580,h422,h570,h1165,h1452,h842,h1175,h1144,h893,h292,h511,h455,h347,h1197,h1327,h928,h67,h539,h448,h892,h1392,h234,h1,h1459,h1415,h710,h161,h498,h305,h60,h1163,h940,h1449,h473,h1418,h894,h343,h1076,h931,h191,h341,h194,h973,h884,h336,h1260,h495,h1215,h1388,h835,h1173,h560,h1362,h1169,h413,h193,h683,h349,h750,h730,h774,h430,h264
2,h633,h1263,h1194,h679,h1427,h449,h267,h1080,h692,h629,h1027,h1365,h857,h502,h1436,h158,h724,h1019,h855,h39,h363,h123,h864,h400,h1361,h731,h582,h618,h1115,h1058,h1021,h1157,h636,h1306,h921,h464,h1113,h856,h175,h6,h401,h1000,h606,h664,h757,h768,h524,h614,h1110,h1346,h1351,h403,h1004,h391,h1288,h617,h100,h1290,h1162,h1304,h1493,h1384,h1359,h1407,h1348,h317,h741,h1249,h135,h1422,h627,h1305,h696,h976,h753
2,h395,h201,h1168,h941,h1426,h784,h1357,h1461,h658,h1043,h1382,h1478,h822,h475,h227,h1179,h571,h273,h816,h998,h360,h1161,h734,h1040,h1008,h579,h1114,h1252,h1122,h1136,h1490,h980,h254,h1032,h955,h543,h828,h1081,h245,h263,h1191,h1294,h1271,h286,h1025,h962,h1256,h862,h167,h462,h173,h1380,h1105,h382,h781,h1192,h258,h745,h1009,h457,h1247,h537,h596,h791,h1291,h129,h763,h172,h334,h177,h761,h711,h415,h221,h1413
